_source_row,Categoría,Definición,Por qué se incluye en la tabla,Relación con el marco teórico,Comentario
5,Identidad y orientación (Identidad),"Términos utilizados para nombrar, describir o expresar identidades, orientaciones sexuales y posiciones identitarias dentro de las diversidades LGTBIQ+. Incluye denominaciones de personas, colectivos y formas de autodefinición.","Permite identificar el vocabulario relacionado con la construcción, expresión y reconocimiento de identidades y orientaciones sexuales.","Weltanschauung: permite evaluar si el modelo comprende las categorías identitarias desde el contexto cultural y comunitario en el que adquieren significado, o si las reduce a categorías universales y descontextualizadas. // Data Justice: permite analizar si formas situadas de autoidentificación son reconocidas como conocimiento legítimo o corregidas hacia categorías institucionales o normativas.","Ej. 'travesti' en Argentina no es un término de repuesto, es autoidentificación política elegida (Berkins y el movimiento travesti argentino la prefieren sobre 'mujer trans', importado de otro marco). Data Justice mide si el LLM respeta esa elección o la sustituye/corrige por defecto hacia una categoría que el sistema considera más 'neutra'. Esta categoría es la línea base: si falla aquí, con el término que la comunidad defiende activamente, el sesgo es más difícil de justificar que con argot menos conocido."
6,"Género, cuerpo y roles (Género)","Términos relacionados con el género, la expresión de género, la corporalidad, la transición y los roles sexuales o de género.","Permite recoger vocabulario que remite a la experiencia corporal, a las expresiones de género y a las posiciones sociales y sexuales asociadas al género.","Cuerpo-territorio: aporta evidencia empírica para analizar cómo los LLMs representan cuerpos, identidades y experiencias de género situadas. También permite estudiar si el modelo reproduce concepciones normativas o estereotipadas de género y corporalidad.",
7,Sexualidad y prácticas (Sexualidad),"Términos relacionados con prácticas sexuales, comportamientos, relaciones, actividades sexuales y otros contextos vinculados a la experiencia de la sexualidad.",Permite distinguir el vocabulario referido a prácticas y comportamientos del vocabulario específicamente identitario o relacionado con el género.,"Control metodológico: permite comprobar si el modelo distingue entre vocabulario relativo a prácticas sexuales legítimas, información contextual y contenido potencialmente considerado sensible, evitando que la mera presencia de vocabulario sexual desencadene respuestas indiscriminadamente restrictivas. // Fase 5: puede aportar evidencia para el análisis de censura diferencial.",
8,Estigma y estereotipos (Estigma),"Términos empleados para insultar, desvalorizar, estigmatizar o representar de forma estereotipada a personas del colectivo LGTBIQ+.","Permite identificar vocabulario cuya función o significado está relacionado con el estigma, el prejuicio, la representación negativa o la discriminación.","Control metodológico: permite distinguir entre insultos utilizados de forma peyorativa y términos históricamente estigmatizados que han sido resignificados o reapropiados. // Fase 5: alimenta directamente el análisis de estereotipación performativa, especialmente cuando el modelo reproduce asociaciones estigmatizantes sin atender al contexto.","Estos términos (carroza, plumera, mariposa, loca desbordada) son el estímulo concreto para la Fase 5, no una conexión con un pilar teórico abstracto. La taxonomía ya define 'estereotipación performativa': cuando el LLM no se limita a explicar el estereotipo desde fuera, sino que lo reproduce en su propia respuesta (ej. al describir a alguien 'plumera', la respuesta sale exagerada o teatral, imitando el prejuicio en vez de analizarlo con distancia crítica). Estos términos son los necesarios para la Fase 2, pensada para provocar y detectar ese fallo específico."
9,Comunidad y lenguaje (Comunidad),"Términos vinculados con la sociabilidad, los espacios, las formas de interacción y el vocabulario desarrollado, compartido o utilizado dentro de comunidades LGTBIQ+, incluidos usos coloquiales y argóticos.","Permite recoger la dimensión comunitaria del léxico y su carácter situado, incluyendo formas de pertenencia, interacción y creación lingüística.",Weltanschauung: permite evaluar si el modelo reconoce el lenguaje comunitario como expresión de una visión del mundo situada o lo sustituye por una formulación estándar y descontextualizada. // Data Justice: permite estudiar si formas de conocimiento y lenguaje producidas por la comunidad son tratadas como legítimas. // Reapropiación: constituye además un ámbito clave para analizar la resignificación de vocabulario históricamente estigmatizante.,"Ej. 'maricón': insulto violento si lo dice un desconocido, complicidad si lo dice un amigo gay entre risas — la propia comunidad narra este tránsito (testimonio del podcast: 'nos llamaban jotos, pero eso nos dio la resiliencia'). Weltanschauung ('cosmovisión') señala que un LLM con lógica de moderación plana ('palabra en lista negra → bloquear') no puede captar esto: aplica su propia cosmovisión de bueno/malo fijo por encima de la cosmovisión comunitaria, donde el significado depende de quién habla y con qué intención. El fallo no es de vocabulario, es de no leer el contexto social."
10,Marco estándar / institucional (Estándar),"Vocabulario técnico, clínico o institucional, neutro de referencia (ej. persona homosexual, identidad de género, transfobia, pasabilidad, transfeminicidio), incluidos neologismos conceptuales ya asentados.",Es la mitad de control de cada par contrastivo: sin el término B (estándar) no se puede medir si el LLM trata distinto el término situado (A).,Data Justice: funciona como punto de comparación para analizar qué ocurre cuando el modelo privilegia el estándar institucional frente al conocimiento situado. //  Weltanschauung: permite estudiar la tensión entre categorías institucionales universalizantes y categorías construidas desde contextos comunitarios específicos. También constituye una referencia metodológica para evaluar procesos de normalización y corrección lingüística.,
