_source_row,Fase,Qué incluye,Detalles clave,Notas / estado
5,Fase 1 — Léxico,Construcción del lexicón situado LGTBIQ+ hispanohablante.,"Fuentes previstas: reseñas de apps IA ya analizadas (ChatGPT, Gemini, Claude, Copilot, DeepSeek) + lexicones académicos SLAyiNG/WinoQueer. Ampliado con: moscasdecolores.com, ensayo 'Joterias' (El Universal), carrilche argentino, podcasts / transcripciones, papers academicos (Kamchatka, MariCorners) (...)","En curso. Base actual: terminos procedentes de México, Argentina, España, comparado y estándar."
6,Fase 2 — Auditoría cuantitativa,Pares contrastivos (vocabulario situado vs. estándar) probados en varios LLMs.,"LLMs propietarios: GPT-4, Claude, Gemini. Open-source: Llama, Mistral. Métricas: tasa de rechazo, censura explícita, toxicidad (Perspective API), misgendering, normalización a vocabulario estándar.",Pendiente de iniciar. Requiere el léxico de Fase 1 con frases de ejemplo reales (no solo definición) para construir los pares.
7,Fase 3 — Análisis del output,"Minería de texto, análisis de sentimiento, modelado de tópicos sobre las respuestas de los LLMs.","Se aplica al output del modelo, NO al input del usuario, lo que evita clasificar a usuarios reales por género).",Pendiente. Depende de tener resultados de Fase 2.
8,Fase 4 — Grupo focal cualitativo,"Validación cualitativa con 6-10 participantes LGTBIQ+ hispanohablantes, online.","Codificación con Grounded Theory (Charmaz, 2014). Grabación audio+imagen (pixelada via Teams, voz distorsionada con Audacity). Destrucción inmediata tras transcribir. Seudonimización con código alfanumérico.","Condicionado a aprobacion CEIUS (ya presentado, todas las firmas presentadas)."
9,Fase 5 — Síntesis y taxonomía final,Taxonomía de 'puntos de fricción lingüístico-algorítmica' entre LLMs y vocabulario situado.,"Categorías: censura, misgendering, sustitución, patologización, estereotipación performativa, respuesta institucional formulaica, entre otras.",Es el marco de referencia que ya se esta usando para justificar las categorías temáticas del lexico de Fase 1.
11,MVP del paper (publicable sin depender de aprobación ética adicional): Fases 1-3. Fase 4 es complementaria / opcional según tiempo disponible y aprobación CEIUS.,,,
