_source_row,Concepto / cita,Fuente,Para qué sirve,Fecha en que se encontró
5,Euforia de género,"Iricibar, V. (2024). ""'Euforia de género': un nuevo término para definir la alegria de ser."" elDiarioAR / Punto de Encuentro (Amnistía Internacional). + Jacobsen, K. & Davor, A. (2022). ""Moving from Gender Dysphoria to Gender Euphoria."" Bulletin of Applied Transgender Studies, 1(1-2), 119-143.","Término comunitario positivo, contrapunto a 'disforia de género' (clinico, DSM-5). No es argot situado (mismo registro formal que el término al que se opone), por eso no entra en la tabla de léxico. Útil para Data Justice: ejemplo de la comunidad generando su propio marco conceptual frente al clínico-institucional.",2026-07-08 00:00:00
6,Cita sobre extractivismo (Daniela Ruiz),"Misma fuente: Iricibar, V. (2024), elDiarioAR / Punto de Encuentro.","Daniela Ruiz (actriz y activista travesti) describe la relación de instituciones / academia con la comunidad travesti en términos de extracción de conocimiento sin retorno: ""extraen, extraen, extraen y ese extractivismo no esta pensado para nosotras"". Cita central para el argumento de Data Justice del paper (lo dice la propia comunidad, no un teórico).",2026-07-08 00:00:00
7,Rechazo comunitario a 'disforia de género' como término importado,Misma fuente: testimonios de María Belén Correa (Archivo de la Memoria Trans) y Daniela Ruiz.,"Ambas activistas rechazan 'disforia' por nacer fuera de Argentina y estar desvinculada de la comunidad. Ejemplo concreto y citable del debate ""importacion vs. conocimiento situado"" que ya se discutió con k'ewsa (aquí en clave institucional moderna, no colonial).",2026-07-08 00:00:00
